"","age","gender","grade_level","prefered_platform","online_shopping_freq","age_group"
"1",19,"male","college","shopee","occasionally","19-24"
"2",21,"male","college","shopee","rarely","19-24"
"3",21,"other","college","shopee","weekly","19-24"
"4",20,"other","college","shopee","rarely","19-24"
"5",20,"male","college","shopee","rarely","19-24"
"6",19,"male","college","lazada","occasionally","19-24"
"7",19,"other","college","shopee","weekly","19-24"
"8",21,"female","college","shopee","rarely","19-24"
"9",23,"male","college","tiktok","rarely","19-24"
"10",20,"female","college","tiktok","monthly","19-24"
"11",20,"male","college","tiktok","rarely","19-24"
"12",18,"female","college","shopee","rarely","19-24"
"13",20,"female","college","shein","monthly","19-24"
"14",20,"female","college","shopee","occasionally","19-24"
"15",22,"male","college","shopee","occasionally","19-24"
"16",19,"female","college","shopee","weekly","19-24"
"17",20,"female","college","shopee","occasionally","19-24"
"18",20,"other","college","shopee","rarely","19-24"
"19",19,"female","college","tiktok","occasionally","19-24"
"20",20,"male","college","shopee","occasionally","19-24"
"21",20,"female","college","shopee","monthly","19-24"
"22",20,"female","college","shopee","occasionally","19-24"
"23",18,"male","high school","shopee","rarely","19-24"
"24",20,"male","college","shopee","weekly","19-24"
"25",20,"male","college","tiktok","rarely","19-24"
"26",20,"male","college","shopee","occasionally","19-24"
"27",20,"male","college","shopee","occasionally","19-24"
"28",21,"male","college","shopee","monthly","19-24"
"29",20,"female","college","shopee","occasionally","19-24"
"30",19,"female","college","shein","rarely","19-24"
"31",20,"other","college","shopee","occasionally","19-24"
"32",19,"male","college","shopee","monthly","19-24"
"33",15,"female","high school","shopee","rarely","14-18"
"34",20,"male","college","shopee","monthly","19-24"
"35",20,"female","college","shopee","occasionally","19-24"
"36",19,"female","college","shein","monthly","19-24"
"37",20,"female","college","tiktok","rarely","19-24"
"39",20,"other","college","shopee","occasionally","19-24"
"40",20,"female","college","shopee","monthly","19-24"
"41",20,"female","college","shopee","monthly","19-24"
"42",18,"female","college","shopee","weekly","19-24"
"43",20,"female","college","shopee","rarely","19-24"
"44",19,"male","college","shopee","rarely","19-24"
"45",19,"male","college","shein","monthly","19-24"
"46",20,"female","college","shein","occasionally","19-24"
"47",19,"male","college","tiktok","occasionally","19-24"
"48",19,"male","college","tiktok","monthly","19-24"
"49",20,"male","college","shopee","occasionally","19-24"
"50",20,"other","college","shopee","rarely","19-24"
"51",21,"female","college","shopee","weekly","19-24"
"53",17,"female","high school","shopee","occasionally","14-18"
"54",20,"male","college","shopee","occasionally","19-24"
"55",19,"male","college","lazada","daily","19-24"
"56",23,"male","college","shopee","weekly","19-24"
"57",15,"female","high school","tiktok","occasionally","14-18"
"58",16,"female","high school","shopee","daily","14-18"
"59",15,"female","high school","shopee","weekly","14-18"
"60",16,"male","high school","shopee","monthly","14-18"
"62",15,"female","high school","tiktok","occasionally","14-18"
"64",15,"female","high school","shopee","weekly","14-18"
"65",17,"female","high school","shopee","weekly","14-18"
"66",21,"male","college","shopee","occasionally","19-24"
"67",17,"female","high school","shopee","monthly","14-18"
"68",20,"male","college","shopee","occasionally","19-24"
"69",17,"other","high school","shopee","occasionally","14-18"
"70",17,"female","high school","shein","occasionally","14-18"
"71",18,"female","high school","shopee","monthly","19-24"
"72",17,"female","high school","shopee","occasionally","14-18"
"73",19,"female","college","shopee","monthly","19-24"
"74",16,"female","high school","tiktok","monthly","14-18"
"75",18,"male","high school","shopee","monthly","19-24"
"76",17,"female","high school","shopee","monthly","14-18"
"77",17,"female","high school","shopee","occasionally","14-18"
"78",16,"female","high school","shopee","monthly","14-18"
"79",17,"male","high school","shopee","weekly","14-18"
"80",18,"female","high school","shopee","occasionally","19-24"
"81",17,"male","high school","shopee","occasionally","14-18"
"82",19,"female","high school","shopee","occasionally","19-24"
"83",18,"male","high school","shopee","rarely","19-24"
"84",18,"female","high school","shopee","occasionally","19-24"
"85",18,"male","high school","shopee","rarely","19-24"
"86",17,"female","high school","shopee","monthly","14-18"
"87",14,"female","high school","shopee","rarely","14-18"
"88",16,"male","high school","shopee","occasionally","14-18"
"89",20,"male","college","shopee","occasionally","19-24"
"90",18,"female","high school","shopee","monthly","19-24"
"91",18,"female","high school","shopee","monthly","19-24"
"92",15,"female","high school","shopee","occasionally","14-18"
"93",18,"female","high school","tiktok","occasionally","19-24"
"94",18,"male","high school","shopee","daily","19-24"
"95",18,"female","high school","shopee","rarely","19-24"
"96",21,"female","college","tiktok","monthly","19-24"
"97",18,"other","high school","tiktok","monthly","19-24"
"98",21,"male","college","shopee","rarely","19-24"
"99",18,"female","high school","shopee","occasionally","19-24"
"100",19,"male","college","shopee","rarely","19-24"
"102",16,"male","high school","shein","weekly","14-18"
"103",20,"male","college","shopee","monthly","19-24"
"104",18,"female","high school","shopee","monthly","19-24"
"105",18,"female","high school","shein","occasionally","19-24"
"106",15,"female","high school","shopee","daily","14-18"
"107",17,"female","high school","tiktok","weekly","14-18"
"108",18,"male","high school","shopee","occasionally","19-24"
"109",20,"male","college","shopee","occasionally","19-24"
"110",14,"male","high school","shopee","rarely","14-18"
"111",22,"female","college","shopee","weekly","19-24"
"112",18,"female","college","shopee","rarely","19-24"
"113",20,"male","college","shopee","occasionally","19-24"
